Date,Portfolio_Return,Rolling_Vol_30d,VaR_95_30d,Risk_Flag,+50bps_Stress_Return,+100bps_Stress_Return
2021-04-06,0.003963293943772299,,,Normal,0.004954117429715374,0.005944940915658448
2021-04-07,-0.0024881784428706366,,,Normal,-0.0031102230535882958,-0.003732267664305955
2021-04-08,0.004012747397817836,,,Normal,0.005015934247272294,0.006019121096726754
2021-04-09,-0.002201119867332735,,,Normal,-0.0027513998341659185,-0.003301679800999102
2021-04-12,-0.00042847127657337963,,,Normal,-0.0005355890957167245,-0.0006427069148600695
2021-04-13,0.003993797860809556,,,Normal,0.004992247326011945,0.005990696791214334
2021-04-14,-0.0014684495626498355,,,Normal,-0.0018355619533122944,-0.002202674343974753
2021-04-15,0.00779243825297334,,,Normal,0.009740547816216675,0.01168865737946001
2021-04-16,-0.0035292694793004342,,,Normal,-0.004411586849125543,-0.005293904218950651
2021-04-19,-0.0013460896712449062,,,Normal,-0.0016826120890561327,-0.0020191345068673594
2021-04-20,0.002606320497624844,,,Normal,0.0032579006220310553,0.003909480746437266
2021-04-21,0.0009209757723431059,,,Normal,0.0011512197154288824,0.001381463658514659
2021-04-22,0.0016781641474033677,,,Normal,0.0020977051842542096,0.0025172462211050517
2021-04-23,-0.0012972058484524613,,,Normal,-0.0016215073105655766,-0.0019458087726786921
2021-04-26,-0.00090230405028587,,,Normal,-0.0011278800628573375,-0.001353456075428805
2021-04-27,-0.004257836738965441,,,Normal,-0.0053222959237068015,-0.006386755108448161
2021-04-28,0.0007327276568108351,,,Normal,0.0009159095710135439,0.0010990914852162526
2021-04-29,-0.0014921962907400443,,,Normal,-0.0018652453634250554,-0.0022382944361100665
2021-04-30,0.0011025045703661658,,,Normal,0.0013781307129577072,0.0016537568555492488
2021-05-03,0.0007365375567765323,,,Normal,0.0009206719459706654,0.0011048063351647985
2021-05-04,0.002699931829261389,,,Normal,0.0033749147865767366,0.004049897743892084
2021-05-05,0.0010357822772567211,,,Normal,0.0012947278465709013,0.0015536734158850818
2021-05-06,0.0006945139343315828,,,Normal,0.0008681424179144785,0.0010417709014973742
2021-05-07,-0.0014115498295938684,,,Normal,-0.0017644372869923355,-0.0021173247443908028
2021-05-10,-0.004161128713282299,,,Normal,-0.005201410891602873,-0.0062416930699234485
2021-05-11,-0.002479483024882397,,,Normal,-0.0030993537811029965,-0.0037192245373235955
2021-05-12,-0.005148595101489684,,,Normal,-0.0064357438768621045,-0.007722892652234525
2021-05-13,0.0017095338009269028,,,Normal,0.0021369172511586285,0.002564300701390354
2021-05-14,0.0038487139472792955,,,Normal,0.004810892434099119,0.0057730709209189435
2021-05-17,-0.001026491680492995,0.0029409331455394557,-0.004214318127408027,Normal,-0.001283114600616244,-0.0015397375207394925
2021-05-18,-0.0008143369859469433,0.0028542588171471,-0.004214318127408027,Normal,-0.001017921232433679,-0.001221505478920415
